Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,11.0,0.3146,"design, process, membrane, approach, enable, application, demonstrate, component, complex, achieve",in the present-day agriculture weed regulator in the farm lands is a tedious process that needs more money and human effort there are a number of methods such as manually removing the unwanted plants by using traditional hand tools or by spraying chemical weedicides which will kill the weeds or using some mechanical equipment’s of the above-mentioned methods the mechanical weeding is mostly preferred due to its low operating cost and human effort moreover the efficiency of the mechanical weeding process is high when compared with the other methods in dry land tapioca farms it is difficult to remove the unwanted weed plants by using the existing weeding equipment’s in the tapioca farms the tubers of tapioca are located only few millimeters below the soil surface the present -day weeding equipment’s remove the weed plants by digging the soil surface and it is not favoured because the process will cause damage to the tubers the use of chemical weedicides is not preferred due to the hazardous nature of the chemicals the manual weeding process is also not preferred because of the high labour cost so in this project a mechanical equipment for carrying out the weeding process in the tapioca farms is designed and fabricated in a way such that it will not cause any damage to the crops the weeder will only remove the unwanted weed crops in the farm apart from the weeding operation the weeder can make the soil surface loose which will increase the porosity of the soil hence the water percolation will be more and the moisture content of the soil can also be maintained thus the weeder will reduce the costs involved in the maintenance of the tapioca farm lands it will also reduce the human effort involved in the weeding process
11,12.0,0.2339,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",this work is based on the performance of biodiesel blends with diesel in providing for a suitable alternative fuel there are various methods in which the biodiesel blends are made every approach uses the preparation of biofuel initially from a parent oil blend here cottonseed oil is taken to make biodiesel for the conversion ionic liquids have been used as catalysts the process of transesterification has shorter reaction times with ionic liquid usage then subsequently test is made on a diesel engine particularly suited for alternative fuels to find out the biodiesel performance all the tests to find the suitability of the transesterified biofuel for use in a diesel engine have been done and results presented the performance graphs show b30 to be the optimum based biofuel blend for which maximum efficiency has been found
12,5.0,0.1526,"flow, simulation, parameter, numerical, pressure, rate, method, particle, equation, force",this paper presents an experimental and numerical simulation to investigate a hybrid vertical axis wind turbine model highly efficient which can be worked at low wind speed by studying the aerodynamic characteristics of four models of hybrid vawts the hybrid wt consists of the swt having two blades and the dwt type straight having two blades four models were constructed to study experimentally and numerically to choose the best model two models were dwt in the upper and swt in the lower also two models were swt in the upper and dwt in the lower the phase stage angle between the turbines is 0o and 90o  the experimental and numerical results showed that the performance of hybrid wt where dwt in the upper and swt in the lower with phase stage 90o is better than in the other models it can be started to work at a wind velocity of 22 m/s at the wind velocity 3 m/s the values of the parameters are the rotational speed (198 rpm) the cp (03195) the ct (02003) the tsr (16) and self-starting rotation at this value of wind velocity (3 m/s) the efficiency of extracting the wind power by hybrid wt is (512 %)
13,5.0,0.1317,"flow, simulation, parameter, numerical, pressure, rate, method, particle, equation, force",the precision in the measurement of three-dimensional force/moment is very necessary for the manufacturing process for satellite and in military equipment the purpose of this research is to design a multi-dimensional multi-point force/moment (f/m) measurement mp-m dynamometer model based on three-axis piezoelectric sensors installation the fem simulation is performed using ansys software and mathematical analyses are carried out using derived equations the measured fea results are consistent with the applied standard force/moments the error difference of fem analysis is under 1% the fem simulations results are approximately 99-100% of the exerted axial force vertical force and pitch moment respectively the designed mp-m dynamometer model is capable to measure spatial force/moment accurately and simulation experiments are discussed
14,2.0,0.1368,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",in any big institution especially educational institutions like schools or colleges generation of large quantity of waste papers is quite apparent and effective use of recycled paper is also possible (craft papers registers etc) so instead of disposing off the waste papers into trash recycling them makes sense this not only helps the institute in cost saving but will also ensure its contribution towards the protection of the environment designing manually operated small-scaled paper recycling plant which can be used in schools and colleges ensures that a cheap and non-complex method of production of paper product is guaranteed accordingly design of the machine unit has been prepared with all necessary component specifications
15,12.0,0.2526,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",the engine chamber is one of the essential engine components that is subjected to over the top temperature differences and thermal stresses fins are set on the surface of the cylinder to improve the quantity of heat exchange by convection when fuel is burned in an engine heat is produced additional heat is also generated by friction between the moving parts in air-cooled ic engine extended surfaces called fins are provided at the periphery of engine cylinder to increase heat transfer rate that is why the analysis of fin is important to increase the heat transfer rate the main of aim of this work is to study various researches done in past to improve heat transfer rate of cooling fins by changing cylinder fin geometry and material in the present work experiments have been performed to discover the temperature variations inside the fins made in four kind geometries (plate fins circular pin fins plate fins with holes and draft pin fins) and consistent state heat exchange examination has been studied utilizing a finite element software ansys to test and approve results the temperature variations at various areas of fins models are evaluated by fem and compared models of fins performance by heat flux and temperature variations obtained by experimentally in analysis the principle implemented in this project is to expand the heat dissipation rate by utilizing the wind flow the main aim of the study is to enhance the thermal properties by shifting geometry material and design of fins
16,4.0,0.1337,"model, study, base, develop, performance, predict, perform, datum, configuration, simulate",the aim of the study is design tube and box heat exchanger with various pattern of tubes and examine the flow and temperature field at inlet and outlet point of tube and container using ansys programming tool three types of heat exchangers are planned in this examination with various structures of cylinders contains of 175 mm breadth and 1000 mm length shell measurement 175 mm to expand the rate of heat exchange of heat exchanger advancement is done which tries to distinguish the best parameter combination of heat exchangers the prefix parameter (tube width) is utilized as an info variable and the yield parameter is the most extreme temperature distinction of container and tube heat exchanger three types models are design on the basis tubes varieties of heat exchanger and cfx examination is completed in ansys 140
17,15.0,0.2797,"analysis, structure, load, result, response, set, region, important, element, local",the tension-only braced frames (tobfs) are widely used as a lateral force resisting system (lfrs) in low-rise steel buildings due to their simplicity and economic advantage however the system has poor seismic energy dissipation capacity and pinched hysteresis behavior caused by early buckling of slender bracing members the main concern in utilizing the tobf system is the determination of appropriate performance factors for seismic design a formalized approach to quantify the seismic performance factor (spf) based on determining an acceptable margin of safety against collapse is introduced by fema p695 the methodology is applied in this paper to assess the spfs of the tobf systems for this purpose a trial value of the r factor was first employed to design and model a set of tobf archetype structures afterwards the level of safety against collapse provided by the assumed r factor was investigated by using the non-linear analysis procedure of fema p695 comprising incremental dynamic analysis (ida) under a set of prescribed ground motions it was found that the r factor of 30 is appropriate for safe design of tobfs also the system over strength factor (ω0) was estimated as 20 by performing non-linear static analyses
18,17.0,0.1499,"case, present, technique, device, time, patient, develop, provide, assess, lead",two months into the coronavirus pandemic most university and laboratory staff have been asked to work from home we are fortunate that while most physical work has been on pause research scholarship and teaching can continue via teleconference calls and collaborative online workspaces even as universities and labs attempt to partially re-open in the summer and fall online scholarship will likely have to continue as students and staff struggle to return to campus due to travel and visa restrictions and parents have to stay home due to school and daycare closures now is the time to brainstorm what work still needs to be done to create useful and productive virtual spaces for academics and research scientists—both amidst the pandemic and afterward in this commentary i will first discuss the need for a systematic approach to physical resources for online academic work then i will discuss the organization and operation of the larger academic gatherings
19,16.0,0.1019,"problem, time, solution, result, base, team, scale, event, solve, term",the cross-sectional topology optimization of a slender load carrying member such as a beam typically begins with the choice of design space which is generally either a square or a rectangle however when subjected to bending and torsional loads such design space may often lead to biased topologies as the material distribution is directed towards the boundaries as it may be difficult to avoid square/rectangular design space this work introduces a constraint which may help in decreasing the dependency on the shape of the design space the constraint is on polar first moment of area and is different from the traditional weight constraint in a way that it simultaneously constrains the weight and enclosed volume the outcomes from the new scheme are compared with those obtained through conventional compliance- and weight- based topology optimization formulation
20,15.0,0.1519,"analysis, structure, load, result, response, set, region, important, element, local",in this paper the seismic response control of offshore jacket-type platform equipped with shape memory alloy (sma) braces is investigated concerning the properties of the smas a new connection is introduced in order to make the most of it based on an actual platform structure and its mechanical model the optimized localization of smas are found by damage propagation under pushover loadings to evaluate the possibility of adopting the innovative bracing system and its efficiency the dynamic responses of 3-d model of the existing 4-legged offshore platform placed in persian gulf (spd12) is compared to the ones with sma braces the results show that using an sma element is an effective way to develop the api recommendations and improve the dynamic response of offshore platforms subjected to earthquake excitations implementing the sma braces can lead to a reduction in residual displacement deck level displacement elements and connections forces and base shear compared to the steel tubular braces model
21,19.0,0.1752,"design, engineering, student, project, study, work, find, paper, include, designer",this study aims to formulate competencies in autotronics specifically in the cluster of vehicle control system (vcs) needed by the automotive service industry (asi) and its relevance to those taught at vocational schools (vss) employing a survey method this research is a quantitative study involving owners managers heads of workshops and service managers of 10 asi and educators from vss offering autotronic expertise competencies data were collected through questionnaires structured interviews observation and documentation study and were analyzed descriptively the results reveal that of the 30 vcs competency units (cus) 4 are both needed by asi and taught at vss 11 are required by asi but not studied at vss another cu is not needed by asi but introduced at vss and the other 14 cus are neither required by asi nor trained at vss
22,17.0,0.1373,"case, present, technique, device, time, patient, develop, provide, assess, lead",fans are playing a major role around the globe for effective and pocket friendly cooling especially in the region of asia where humidity is high thermal comfort being one of the most important factors for improvement in working environment for better quality of work moving of air around the body helps sweat evaporation and makes body feel comfortable mixing of air from top to bottom of the area so as to neutralize the change in temperature is done by fans effectively than any other means destratification of air is the biggest problem faced in any enclosed area which can be rectified by using fans cfd analysis is performed on the designed ceiling fan to analyze the airflow around the area of interest
23,2.0,0.1761,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",the crop-waste is available in abundant to generate energy the energy conversion process involve production of biofuel from crop-waste this paper considers the conversion of rice straw to energy the conversion involve the preprocessing of rice straw which includes drying and its conversion to powder form this paper proposes the microwave assisted drying process for rice straw the single strand of rice straw is considered in the paper the multiphysics simulation is performed to understand the heat generation and heat-transfer rate with variation in the size of rice straw the proposed process involves the cutting of rice straw to specific sizes the rice straw size plays an important role in absorbing microwave energy the heating pattern depends on the mode of transverse electric field interacting with specified size of rice straw the different modes getting excited in the rice straw depends on its size it is observed in this paper that the large size of rice straw help in achieving multiple modes in a single strand of rice straw hence it results in optimized microwave process to achieve the uniform heating in rice straw the cutting of rice straw before microwave processing requires the rice straw to size between 8 cm to 12 cm
24,14.0,0.196,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",due to the demand for lightweight materials in the field of automobiles aeronautics and some other application there is a need to develop lightweight materials for the last few decades aluminum matrix composites are being developed in order to meet out the demand of the above-mentioned industries aluminum the above lightweight material in the form of composites of b4c reinforced in al7075 alloy is considered for the present investigation the composite was produced using the stir casting method in this investigation the micro and nano b4c particles were used as reinforcements the fabricated composites were characterized for microstructure and mechanical properties from the microstructural examination it was observed that 12% of b4c nanocomposites was having fine microstructure as compared to others the hardness and strength were found to be maximum for 12 % b4c nanocomposites which impact strength was lowest for 12% micro composites
25,2.0,0.2513,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",the problem in rice production in java is the decrease of agricultural land area and the increase of old farmers the share cropping system is a system of land tenure distribution that is mostly carried out in java the research was conducted in klaten regency as the centre for rice production in central java this study aims to determine the management of rice farming using a share cropping system and factors that affect its productivity the research involved 60 farmers as the research samples who were collected using multiple linear regression methods the analysis revealed that the number of tenant farmers amounted to 38% with a relatively younger age and a land area of 07 ha economically they live a decent life with revenue per cost 16 and profit per cost c 025 and a productivity level of 63 tons/ha which is higher than the landowners are the share cropping system in rice farming in klaten regency is a system of land use and labor that provides good incentives for the tenant
26,14.0,0.2765,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",engineered cementitious composites (ecc) is a special type of high performance fibre reinforced cementitious composite having uniquely high ductile and tensile properties reducing the usage of cement in ecc by using less energy intensive binders is a step in the attainment of sustainable development to reduce greenhouse gases river sand is also becoming a scarce commodity and hence exploring alternatives to it has become important this paper focuses on characterizing the mechanical properties of an eco – friendly ecc with high volume fly ash (hvfa) content manufactured sand and polyvinyl alcohol (pva) fibre experiments were conducted for finding the mechanical properties of ecc by the influence of hvfa (60% 70% &amp; 80%) content self-curing agent (polyethylene glycol 600) and calcium carbonate the results show that the mechanical properties of hvfa-ecc having fly ash up to 70% are comparable with those of ecc without fly ash addition of caco3 and self-curing agent contributed for the early strength development and an alternative for water curing in hvfa-ecc
27,8.0,0.1099,"surface, show, study, process, concentration, form, high, low, sample, ion",adsorption chillers are an environmentally friendly solution for the valorisation of waste or solar heat for cooling demands a recent application is high efficiency data centre cooling where heat from cpus is used to drive the process providing cold for auxiliary loads the metal organic framework aluminium fumarate with water is potentially a suitable material pair for this low temperature driven application a targeted heat exchanger design is a prerequisite for competitiveness requiring amongst others a sound understanding of adsorption equilibria and adsorption enthalpy a novel method is used for their determination based on small isothermal and isochoric state changes applied with an apparatus developed initially for volume swing frequency response measurement to samples with a binder based adsorbent coating the adsorption enthalpy is calculated through the clausius-clapeyron equation from the obtained slopes of the isotherm and isobar while the absolute uptake is determined volumetrically the isotherm confirms the step-like form known for aluminium fumarate with a temperature dependent inflection point at p_rel ≈ 025 028 and 033 for 30 40 and 60 °c the calculated differential enthalpy of adsorption is 290±005 mj/kg (522±10 kj/mol) on average which is about 10–15% higher than expected by a simple dubinin approximation
28,14.0,0.2907,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",shear cutting is used for manufacturing various parts ranging from eg simple washers to complex gears the latter are typically subjected to cyclic loading and fail foremost due to fatigue damages hereby the parts lifetime is mainly determined by: the geometry the applied load the material the hardness the roughness and the residual stress state while numerous research works deal with the inﬂuence of the process parameters on the hardness and the parts geometry the inﬂuence of the process parameters on the residual stress state and on the resulting fatigue strength has not been investigated in detail yet in an earlier publication suitable shear cutting techniques which allow to achieve a high amount of clean-cut and a favorable residual stress state were compared in this paper the inﬂuence of the process parameters on the residual stress state and the resulting bending fatigue strength are addressed to simulate the bending stress occurring in the tooth root c-shaped specimens were manufactured by diﬀerent blanking techniques the die-clearance and punch and die edge radii were varied with these blanking techniques after measuring the cut-surface geometry the hardness distribution and the surface roughness the fatigue strength was determined in a pulsating test rig by carrying out residual stress measurements using x-ray diﬀraction and simulating the material ﬂow behavior using the finite-element-method basic mechanisms which are inﬂuencing the residual stress state and the resulting bending fatigue strength were identiﬁed and will be presented and discussed in the paper
29,11.0,0.1406,"design, process, membrane, approach, enable, application, demonstrate, component, complex, achieve",in this work we explore infinity 3d printing technique to fabricate continuous several-meter-long low-loss near-zero dispersion suspended-core polypropylene fibers for application in terahertz communications the novel filament deposition modeling (fdm)- based infinity printing technique allows continuous fabrication of unlimited in length fiber sections of complex transverse geometries using advanced thermoplastic composites and in our opinion is poised to become a key technique for advanced terahertz fiber manufacturing furthermore particular attention in our work is payed to process parameter optimization for printing with low-loss polypropylene plastic as well as an in-depth comparison between fibers printed using standard fdm 3d printers and infinity 3d printers
30,7.0,0.3921,"paper, present, wave, introduce, make, frequency, concept, signal, high, field",terahertz communications is a booming field in rapid development while in most of the existing terahertz communication systems modulated thz carrier wave is transmitted via free-space communication channels the thz waveguide-based integrated solutions can be of great utility both at the transmitter and receiver ends thus at the transmitter end they can be used for steering beam forming and multiplexing of the thz signals at the receiver end terahertz waveguide-based solutions can be used as reliable interconnects (especially in the geometrically complex environments ex intra-vehicle communications) as well as for real-time analogue signal processing such as filtering and demultiplexing more generally waveguide-based thz optical circuits are indispensable for miniaturization and mass production of cost-effective thz communication systems in this work we present comprehensive numerical fabrication and optical characterization studies of a new type of modular thz integrated circuits based on the micro-encapsulated two-wire plasmonic waveguides particular attention is payed to the design of optimized components such as waveguides couplers and waveguide bragg gratings to realize easy to handle highly reconfigurable terahertz circuits capable of complex functionalities such as multiplexing and demultiplexing the basic element of all the developed subcomponents is a low-loss low-dispersion two-wire waveguide suspended inside of a protective micro-sized enclosure (cage) using deeply subwavelength dielectric supports the high resolution stereolithography 3d printing and wet chemistry metal deposition techniques are employed to fabricate such waveguides where the thz light is mainly confined in the air gap between the two wires first the straight waveguides are characterized using continuous-wave thz spectroscopy system with the measured transmission loss and group velocity dispersion (gvd) of 6 m-1 and -15 ps/thz·cm respectively at the carrier frequency of 140 ghz next waveguide bends and a y-coupler based on the two coalescing waveguide bends are studied we find that due to the presence of a cage the curved two-wire waveguides show smaller bending loss than the free-standing two-wire waveguides of similar geometry additionally we find that relatively tight bends of ~5cm-radius can be well tolerated by adding less than ~10 m-1 propagation losses to the curved waveguide propagation loss next we design and fabricate the two-wire waveguide bragg gratings by hot stamping a periodic sequence of metal strips onto a paper sheet and inserting it into the air gap between the two-wire waveguides the geometry of the grating featuring a bragg frequency of 140 ghz is studied theoretically and numerically and the optimal waveguide gratings are then realized experimentally such structures can have bandwidths as high as ~20 ghz finally using thus developed modular components a two channel thz add-drop multiplexer (adm) is demonstrated for the operation at 140 ghz carrier frequency and featuring a spectral width of 28 ghz we believe that the reported modular platform based on the micro-encapsulated two-wire waveguides can have a strong impact on the field of integrated optical circuits for thz signal processing and potentially sensing due to ease of device fabrication (standard 3d printers and wet chemistry) modular design and high degree of reconfigurability low-loss and low-dispersion of the underlying waveguides as well as high potential for the real-time tunability of the optical circuits due to ease of access of the modal fields inside the controlled in-cage environment
31,2.0,0.2591,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",electric vehicles (evs) are widely heralded as the silver bullet for greening personal transport however their eventual impact in south africa a developing country with a low-capacity carbon-heavy grid is questionable this paper examines the potential impact of electrification of the vehicle fleet in south africa and explores the concept that large employers could take advantage of the country’s abundant sunshine and provide photovoltaic (pv) solar carports for employees to charge their vehicles while at work we assess the extent to which this would reduce the potential burden on the national grid and also consider the economic perspectives of the vehicle owners and the employers our assessment employs a mobility model and a battery model for the vehicles and solar simulation with measured data for the pv generation we show that without the provision of additional solar generation charging four million vehicles from the grid would exceed the grid’s capacity further the carbon footprint of an electric vehicle charged from the grid would be greater than that of a petrol-fuelled vehicle negating any potential benefits of electrification however we demonstrate that photovoltaic charging at work renders electric vehicles more carbon-friendly than petrol equivalents and has substantial financial benefits for the vehicle owner the employer and the grid
32,2.0,0.3716,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",during the past decade most governments have been promoting energy efficiency programs and the integration of renewable energy sources into the majority of energy uses among the diferent sectors the agricultural sector is becoming a more active participant to reduce fossil fuel dependence and improve environmental sustainability indeed agriculture usually combines both a high energy demand and water problems associated with over-exploited aquifers providing great potential and remarkable opportunities to change the energy mix and maximize the use and integration of natural resources in a rational way considering this framework the present paper describes and compares the solar resource integration and its effects on agricultural pumping purposes in two mediterranean countries spain and morocco with significant differences in terms of energy mix climatic conditions and energy policies as a novel contribution in this paper we propose the use of gis to analyze the spatial and temporal variability of the solar resource through real data of both locations as well as to study groundwater resources with this aim two technical proposals for irrigation purposes are compared in terms of environmental benefits co2 emissions and agriculture energy model changes: diesel equipment and photovoltaic system results based on solar radiation resource pumping requirements and aquifer depth are included in the paper
33,11.0,0.088,"design, process, membrane, approach, enable, application, demonstrate, component, complex, achieve",this preprint introduces polyekthetic processes a generalization of polytropic processes the etymology of the new term is given and the concept is explained theoretically a useful associated definition for constant-property processes for arbitrary properties and expressions thereof is given and associated polyekthetic exponents k_ijℓ are defined and a general solution is obtained examples on van-der-waals general and ideal gas substances are provided with discussions
34,18.0,0.1558,"system, technology, research, information, datum, development, future, provide, make, service",to visualize high-dimensional geospatial data has achieved much importance in last decades but to analyze it the technologies used of machine learning are not so convincing and thus it is high time to switch to a sub-domain of machine learning called deep learning which has gained popularity because of its accuracy in processing and analyzing high-dimensional data the convergence of deep learning with geospatial data analytics shall prove to be a boon to those who actually has a need to predict specific outputs over geospatial data in this paper we have presented some geospatial data generated using the gis (geographic information systems) technology and proposed ways to implement deep learning over these data gis technology is a mapping technology which signifies high-dimensional geospatial data and our aim is to propose a model where gis converges with highly efficient deep neural networks such as cnn (convolutional neural network) rnn (recurrent neural network) and lstm (long short-term memory network) we have provided geospatial as well as statistical results in this paper to visualize practically the gis technology this paper further provides future scope of the proposed model which shall present the challenges that needs to be tackled in future and its applicability in many relevant domains
